ticker,strategy,initial_capital,total_invested,final_value,cumulative_return,annualized_return,max_drawdown,volatility,sharpe_ratio,number_of_trades,excess_annualized_return_vs_spy,outperformed_spy,monthly_contribution,notes
MCD,Buy-and-Hold,10000.0,10000.0,239145.27,22.914527,0.110161,-0.736311,0.234461,0.469848,1,0.006639,True,,"Fractional shares allowed. USD 10,000 invested on first trading day."
MCD,Fair DCA,10000.0,10000.0,91007.02,8.100702,0.075407,-0.356733,0.13984,0.539238,365,-0.028114,False,27.39726,"Total capital USD 10,000. For N calendar months: contribution = 10,000/N. Uninvested capital remains in cash."
MCD,SMA 20/60,10000.0,10000.0,74786.6,6.47866,0.06848,-0.598223,0.165353,0.414146,148,-0.035041,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
MCD,SMA 50/200,10000.0,10000.0,42621.74,3.262174,0.048884,-0.552521,0.179627,0.272144,48,-0.054637,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
MCD,SMA 100/300,10000.0,10000.0,79255.66,6.925566,0.070524,-0.514728,0.190453,0.370295,23,-0.032998,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
KO,Buy-and-Hold,10000.0,10000.0,94623.94,8.462394,0.076788,-0.549618,0.215805,0.355821,1,-0.026734,False,,"Fractional shares allowed. USD 10,000 invested on first trading day."
KO,Fair DCA,10000.0,10000.0,42178.16,3.217816,0.048523,-0.340698,0.115795,0.419043,365,-0.054998,False,27.39726,"Total capital USD 10,000. For N calendar months: contribution = 10,000/N. Uninvested capital remains in cash."
KO,SMA 20/60,10000.0,10000.0,21435.18,1.143518,0.025418,-0.425233,0.147627,0.172174,149,-0.078104,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
KO,SMA 50/200,10000.0,10000.0,17963.21,0.796321,0.01947,-0.627358,0.1561,0.124727,49,-0.084052,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
KO,SMA 100/300,10000.0,10000.0,28222.52,1.822252,0.034746,-0.484737,0.162697,0.213562,27,-0.068776,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
AAPL,Buy-and-Hold,10000.0,10000.0,12435398.71,1242.539871,0.264378,-0.818014,0.417652,0.63301,1,0.160856,True,,"Fractional shares allowed. USD 10,000 invested on first trading day."
AAPL,Fair DCA,10000.0,10000.0,3733430.42,372.343042,0.215275,-0.563652,0.263642,0.816542,365,0.111753,True,27.39726,"Total capital USD 10,000. For N calendar months: contribution = 10,000/N. Uninvested capital remains in cash."
AAPL,SMA 20/60,10000.0,10000.0,1465075.65,145.507565,0.178421,-0.785326,0.316917,0.562991,131,0.0749,True,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
AAPL,SMA 50/200,10000.0,10000.0,2146879.21,213.687921,0.193339,-0.622387,0.311472,0.620725,33,0.089817,True,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
AAPL,SMA 100/300,10000.0,10000.0,3071032.24,306.103224,0.207486,-0.843662,0.343295,0.604395,19,0.103964,True,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
MSFT,Buy-and-Hold,10000.0,10000.0,1220984.1,121.09841,0.171372,-0.693862,0.307272,0.557723,1,0.067851,True,,"Fractional shares allowed. USD 10,000 invested on first trading day."
MSFT,Fair DCA,10000.0,10000.0,180861.05,17.086105,0.099999,-0.368188,0.186721,0.53555,365,-0.003523,False,27.39726,"Total capital USD 10,000. For N calendar months: contribution = 10,000/N. Uninvested capital remains in cash."
MSFT,SMA 20/60,10000.0,10000.0,119439.4,10.94394,0.085075,-0.673949,0.212084,0.401141,145,-0.018446,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
MSFT,SMA 50/200,10000.0,10000.0,261156.35,25.115635,0.113383,-0.73123,0.228402,0.49642,42,0.009862,True,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
MSFT,SMA 100/300,10000.0,10000.0,143850.93,13.385093,0.091739,-0.69843,0.234975,0.390419,28,-0.011783,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
ORCL,Buy-and-Hold,10000.0,10000.0,710890.71,70.089071,0.150699,-0.841943,0.419281,0.359423,1,0.047177,True,,"Fractional shares allowed. USD 10,000 invested on first trading day."
ORCL,Fair DCA,10000.0,10000.0,131484.51,12.148451,0.088513,-0.582162,0.248926,0.35558,365,-0.015009,False,27.39726,"Total capital USD 10,000. For N calendar months: contribution = 10,000/N. Uninvested capital remains in cash."
ORCL,SMA 20/60,10000.0,10000.0,79651.71,6.965171,0.070699,-0.680421,0.294935,0.239712,153,-0.032822,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
ORCL,SMA 50/200,10000.0,10000.0,36267.83,2.626783,0.043325,-0.684698,0.296232,0.146253,50,-0.060197,False,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
ORCL,SMA 100/300,10000.0,10000.0,274127.6,26.41276,0.115161,-0.582499,0.330853,0.348074,24,0.01164,True,,Pre-defined SMA rule. Signals are computed from prior available adjusted close data using shifted smoothing windows; trades execute on current close.
